user_id,age,income,credit_score,loan_amount,tenure_months,interest_rate,merchant_commission_rate,acquisition_cost,defaulted,revenue,loss,net_profit
BNPL_000001,49,118694,406,23575,3,0.18,0.03,388,0,1768.12,0,1380.12
BNPL_000002,39,52194,758,16423,3,0.18,0.03,572,0,1231.72,0,659.72
BNPL_000003,44,56090,608,2769,3,0.18,0.03,543,0,207.67,0,-335.33
BNPL_000004,22,20311,576,19568,3,0.18,0.03,513,0,1467.6,0,954.6
BNPL_000005,45,40658,810,26233,3,0.18,0.03,387,0,1967.47,0,1580.47
BNPL_000006,23,84092,320,29464,3,0.18,0.03,366,1,2209.8,29464,-27620.2
BNPL_000007,45,88969,645,4612,3,0.18,0.03,585,0,345.9,0,-239.1
BNPL_000008,27,63555,808,19159,3,0.18,0.03,234,0,1436.92,0,1202.92
BNPL_000009,24,34457,689,12805,3,0.18,0.03,305,0,960.38,0,655.38
BNPL_000010,49,60758,701,8873,3,0.18,0.03,243,0,665.47,0,422.47
BNPL_000011,34,47606,570,9629,3,0.18,0.03,414,0,722.17,0,308.17
BNPL_000012,41,38247,637,19262,3,0.18,0.03,252,0,1444.65,0,1192.65
BNPL_000013,45,101779,487,10571,3,0.18,0.03,240,0,792.83,0,552.83
BNPL_000014,21,63984,820,23847,3,0.18,0.03,328,0,1788.53,0,1460.53
BNPL_000015,44,63190,438,24002,3,0.18,0.03,280,0,1800.15,0,1520.15
BNPL_000016,53,27666,789,28854,3,0.18,0.03,240,0,2164.05,0,1924.05
BNPL_000017,29,45535,332,25599,3,0.18,0.03,261,0,1919.92,0,1658.92
BNPL_000018,42,39538,846,7056,3,0.18,0.03,426,0,529.2,0,103.2
BNPL_000019,34,42266,304,25769,3,0.18,0.03,454,0,1932.67,0,1478.67
BNPL_000020,47,15206,314,24361,3,0.18,0.03,241,0,1827.07,0,1586.07
BNPL_000021,52,69268,395,24403,3,0.18,0.03,421,1,1830.22,24403,-22993.78
BNPL_000022,35,48827,824,18198,3,0.18,0.03,386,0,1364.85,0,978.85
